x,y,ymin,ymax
13.0,41.08227274286709,40.807278568666135,41.31819174526309
13.2,41.4338273286206,41.137681232644375,41.69697051491758
13.399999999999999,41.9165727190037,41.65580054083895,42.17363678706017
13.599999999999998,42.409354497472194,42.162166298208895,42.642409811647624
13.799999999999997,42.87844820062706,42.64387615736776,43.08644952704147
13.999999999999996,43.31129310144391,43.09373338655261,43.50831363246003
14.199999999999996,43.695653777403784,43.51561770659815,43.897934102587165
14.399999999999995,44.08256378815598,43.8820452196784,44.35838253555347
14.599999999999994,44.366090020667265,44.20965157205312,44.72734759761895
14.799999999999994,44.71141451273782,44.46202330638186,45.08300330079893
14.999999999999993,44.753069016220984,44.724473846863205,45.28693949391719
