x,y,ymin,ymax
0.011088252403758783,0.03752191643267082,0.010016728658316416,0.11092526254859787
0.013632933299805023,0.04662658427006064,0.012569920975413928,0.16280931121783226
0.016761601701448397,0.08030337679664049,0.026786471404565748,0.23273823426553042
0.020608278894903433,0.11785811245654632,0.030386925733052184,0.3116436159328072
0.0253377431688657,0.15591688978748605,0.0530262413781415,0.3786109278701803
0.031152588344006367,0.21093005646065355,0.081682465249866,0.4339922238255919
0.038301902188495746,0.2561415443928734,0.1158948047969977,0.5780337869272694
0.047091936472731265,0.3228163400864586,0.1543873568114842,0.6868303252405998
0.05789922573134877,0.3639449469227067,0.2066193908369498,0.7506636449695696
0.07118671669471166,0.44565828798473134,0.2715034189326909,0.8269043367395169
0.08752359931869319,0.527509011169907,0.3511246157269735,0.9089695969573564
0.1076096889051806,0.6379129354857023,0.4433912063857419,0.9938442476333181
0.1323054037586471,0.7566806852961975,0.5535998898465453,1.1490148213297264
0.1626686225174647,0.9094478416313357,0.6699805074551658,1.2642526646313836
0.19999999999999998,1.0532543251766318,0.8043201270719699,1.4206559269457997
0.24589868273892496,1.217053965431415,0.9392387103134421,1.551181821110656
0.30233081086369235,1.3649310777310295,1.0752088340674002,1.7159090437558944
0.3717137407138651,1.500158018227083,1.190851932390045,1.8382959957896767
0.4570195959874887,1.636410611235789,1.3112367330324954,1.9752993033803288
0.5619025831959957,1.7640867218520926,1.4412542675094497,2.1161971944711837
0.6908555251774727,1.931497988526942,1.571066752255609,2.2996431221012408
0.8494023180202439,2.1301269047451266,1.7541946190303737,2.512790358968364
1.044334555582837,2.3638530547614067,1.9623826363545593,2.811301661501229
1.2840024577828009,2.684454922291931,2.2582098277719194,3.2623975800563922
1.5786725650116644,3.1461614890587803,2.6048933413934834,3.9791386184001567
1.9409675210622408,3.8335897529668723,3.0634738658585503,5.175645379326861
2.3864067833412084,4.824654287899601,3.72722522351451,6.840796456342606
2.934071422514191,6.151861229384369,4.662014513145851,8.994297657062324
3.607421489290817,7.9284293080639365,5.807511218423303,11.66945257109896
