x,y,ymin,ymax
13.0,-6.886823801585896,-7.0755667514183305,-6.681484896282445
13.2,-6.580522439263573,-6.78796916450715,-6.374816888767711
13.399999999999999,-6.180860894229186,-6.365681892189613,-5.998327127153626
13.599999999999998,-5.810995574166907,-5.972550666961009,-5.648518234451352
13.799999999999997,-5.456026172104286,-5.609752892129055,-5.302682457351921
13.999999999999996,-5.1226523993424635,-5.274047810470765,-4.9747681933483285
14.199999999999996,-4.795177370191066,-4.948196951721636,-4.646218595744858
14.399999999999995,-4.476675784402459,-4.599086699423058,-4.350215033553666
14.599999999999994,-4.171414910701919,-4.255679910430113,-4.041658446482039
14.799999999999994,-3.7863746920867527,-3.942148794623804,-3.7524690359069943
14.999999999999993,-3.4667427285511483,-3.4956546685044807,-3.417324761518868
